name|video|start|end|speaker|orth|translation
01April_2010_Thursday_heute-6694|01April_2010_Thursday_heute-6694/1/*.png|-1|-1|Signer04|LIEB ZUSCHAUER ABEND|liebe zuschauer guten abend
01April_2010_Thursday_heute-6695|01April_2010_Thursday_heute-6695/1/*.png|-1|-1|Signer04|WINTER GESTERN NORD SCHOTTLAND REGION|heftiger wintereinbruch gestern in nordirland schottland
01April_2010_Thursday_heute-6696|01April_2010_Thursday_heute-6696/1/*.png|-1|-1|Signer04|UEBERSCHWEMMUNG AMERIKA IX|schwere überschwemmungen in den usa
01April_2010_Thursday_heute-6700|01April_2010_Thursday_heute-6700/1/*.png|-1|-1|Signer04|WARM MEER WEST WARM WEST BLEIBEN KUEHL|weiterhin warm am östlichen mittelmeer und auch richtung westliches mittelmeer ganz west und nordeuropa bleibt kühl
01April_2010_Thursday_heute-6701|01April_2010_Thursday_heute-6701/1/*.png|-1|-1|Signer04|KUEHL IN-KOMMEND NACHT|und sehr kühl wird auch die kommende nacht
01April_2010_Thursday_heute-6702|01April_2010_Thursday_heute-6702/1/*.png|-1|-1|Signer04|MINUS TEIL MINUS FUENF ALPEN KUESTE NULL|verbreitet minusgrade zum teil bis minus fünf am alpenrand und selbst an der küste nahe null grad
01April_2010_Thursday_heute-6703|01April_2010_Thursday_heute-6703/1/*.png|-1|-1|Signer04|MORGEN TEMPERATUR ACHT BIS DREIZEHN MAXIMAL DREIZEHN|morgen die temperaturspanne auch nur acht bis dreizehn grad höchsttemperatur
01April_2010_Thursday_heute-6708|01April_2010_Thursday_heute-6708/1/*.png|-1|-1|Signer04|AUCH SAMSTAG WEST FREUNDLICH IX TROCKEN WEST REGEN|und auch am samstag im osten noch freundlich im westen dann zum teil kräftige schauer
01April_2010_Thursday_heute-6709|01April_2010_Thursday_heute-6709/1/*.png|-1|-1|Signer04|SONNTAG SUED|sonntag im nordwesten schauer und auch im süden
01April_2010_Thursday_heute-6710|01April_2010_Thursday_heute-6710/1/*.png|-1|-1|Signer04|SCHNEE DABEI|da auch wieder mit schnee vermischt
01April_2010_Thursday_heute-6711|01April_2010_Thursday_heute-6711/1/*.png|-1|-1|Signer04|MONTAG SCHAUER KOMMEN|und am montag da ziehen sich die schauer richtung südosten zurück
01April_2010_Thursday_heute-6712|01April_2010_Thursday_heute-6712/1/*.png|-1|-1|Signer04|DANN FREUNDLICH KLAR MONTAG|und dann wird es doch insgesamt ein recht freundlicher tag
01April_2010_Thursday_heute-6714|01April_2010_Thursday_heute-6714/1/*.png|-1|-1|Signer04|JETZT WUENSCHEN SCHOEN ABEND|und jetzt wünsche ich ihnen noch einen schönen abend
01April_2010_Thursday_tagesschau-4321|01April_2010_Thursday_tagesschau-4321/1/*.png|-1|-1|Signer04|HEUTE NACHT OST REGEN|heute nacht regnet oder schneit es noch im äußersten osten und südosten
01April_2010_Thursday_tagesschau-4322|01April_2010_Thursday_tagesschau-4322/1/*.png|-1|-1|Signer04|NORD REGEN|richtung nordsee fallen regenschauer
01April_2010_Thursday_tagesschau-4323|01April_2010_Thursday_tagesschau-4323/1/*.png|-1|-1|Signer04|MORGEN UEBERWIEGEND FREUNDLICH IX SCHAUER|am tag ist es überwiegend freundlich und nur vereinzelt fallen schauer
01April_2010_Thursday_tagesschau-4324|01April_2010_Thursday_tagesschau-4324/1/*.png|-1|-1|Signer04|ABEND WEST SUED BISSCHEN REGEN|gegen abend beginnt es dann im westen und südwesten hier und da zu regnen
01April_2010_Thursday_tagesschau-4325|01April_2010_Thursday_tagesschau-4325/1/*.png|-1|-1|Signer04|HIER WIND SCHWACH MAESSIG WEST NORD WIND|der wind weht schwach bis mäßig im westen und nordwesten teilweise auch frisch
01April_2010_Thursday_tagesschau-4326|01April_2010_Thursday_tagesschau-4326/1/*.png|-1|-1|Signer04|HEUTE NACHT FLUSS DREI MINUS SECHS ALPEN|heute nacht drei grad an der oder minus sechs grad an den alpen
01April_2010_Thursday_tagesschau-4327|01April_2010_Thursday_tagesschau-4327/1/*.png|-1|-1|Signer04|VORSICHT GLATT|vorsicht wegen glätte
01April_2010_Thursday_tagesschau-4328|01April_2010_Thursday_tagesschau-4328/1/*.png|-1|-1|Signer04|MORGEN SIEBEN LAND VIERZEHN FLUSS|am tag sieben grad im bayerischen wald und vierzehn grad am rhein
01April_2010_Thursday_tagesschau-4333|01April_2010_Thursday_tagesschau-4333/1/*.png|-1|-1|Signer04|OSTERN MONTAG AUCH REGEN HOCH SCHNEE|auch am ostermontag regnet es stellenweise in höheren lagen auch schnee
01April_2011_Friday_tagesschau-3375|01April_2011_Friday_tagesschau-3375/1/*.png|-1|-1|Signer08|ZEIGEN-BILDSCHIRM WOCHENENDE IX HOCH DRUCK DAZU WARM KOMMEN VIEL SONNE UND AEHNLICH SOMMER TEMPERATUR|am wochenende beschert uns hoher luftdruck zusammen mit sehr warmer luft viel sonnenschein und teilweise sommerliche temperaturen
01April_2011_Friday_tagesschau-3376|01April_2011_Friday_tagesschau-3376/1/*.png|-1|-1|Signer08|REGION TIEF SONNTAG KOMMEN REGEN UND GEWITTER|ein atlantischer tiefausläufer lenkt dann am sonntag von nordwesten schauer und gewitterwolken heran
01April_2011_Friday_tagesschau-3378|01April_2011_Friday_tagesschau-3378/1/*.png|-1|-1|Signer08|KLAR IX|sonst klart es immer mehr auf
01April_2011_Friday_tagesschau-3379|01April_2011_Friday_tagesschau-3379/1/*.png|-1|-1|Signer08|REGION KOENNEN NEBEL|in den niederungen bildet sich hier und da nebel
01April_2011_Friday_tagesschau-3380|01April_2011_Friday_tagesschau-3380/1/*.png|-1|-1|Signer08|NORDOST TAG ANFANG WOLKE|im nordosten beginnt der tag zum teil noch wolkig
01April_2011_Friday_tagesschau-3381|01April_2011_Friday_tagesschau-3381/1/*.png|-1|-1|Signer08|WEST IX EINFACH VERSCHWINDEN MEHR SONNE|im übrigen land scheint neben ein paar harmlosen wolken meist die sonne
01April_2011_Friday_tagesschau-3382|01April_2011_Friday_tagesschau-3382/1/*.png|-1|-1|Signer08|WIND SCHWACH MAESSIG NORD SEE IX KOENNEN FRISCH WEHEN|es weht ein schwacher bis mäßiger an der nordsee zeitweise frischer wind aus südlichen richtungen
01April_2011_Friday_tagesschau-3383|01April_2011_Friday_tagesschau-3383/1/*.png|-1|-1|Signer08|BERG ALLGAEU HEUTE ABEND VIER GRAD FLUSS ELF GRAD|im allgäu heute nacht kühle vier an der spree bis elf grad
01April_2011_Friday_tagesschau-3384|01April_2011_Friday_tagesschau-3384/1/*.png|-1|-1|Signer08|RUEGEN MORGEN VIERZEHN GRAD FLUSS SOMMER FUENF ZWANZIG BIS SECHS ZWANZIG GRAD|auf rügen morgen vierzehn entlang des rheins sommerliche fünfundzwanzig bis sechsundzwanzig grad
01April_2011_Friday_tagesschau-3385|01April_2011_Friday_tagesschau-3385/1/*.png|-1|-1|Signer08|SONNTAG WEST NORDWEST WOLKE KOENNEN REGEN ODER GEWITTER KOENNEN|am sonntag im westen und nordwesten dichte wolken und mitunter kräftige schauer oder gewitter
